type,title,country,month_added,release_year,rating,listed_in,duration_in_mins,,,,show_id,director,cast,description
Movie,Thumbelina,"Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary",October,1994,G,"Animation, Family, Fantasy",87,,,,s58,"Don Bluth, Gary Goldman","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars",A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.
TV Show,PJ Masks,"France, United Kingdom",October,2015,TV-Y7,"Action-Adventure, Animation, Kids",1800,,,,s59,Others,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley",Look out Night Time Baddies the PJ Masks are coming!
TV Show,The Wild Life of Dr. Ole,Others,October,2021,TV-PG,"Animals & Nature, Reality",360,,,,s60,Others,Others,"Doc Ole practices his unique brand of animal care with wit, expertise and insight."
Movie,Lost Cities with Albert Lin: The Great Flood,Others,October,2021,TV-PG,"Documentary, Historical",44,,,,s61,Jim Greayer,Dr. Albert Yu-Min Lin,Albert Lin is on a global quest to find the origins of Great Flood stories.
Movie,Megacity of the Maya Warriors,Others,October,2021,TV-PG,Documentary,44,,,,s62,Ben Crichton,Albert Lin,Albert Lin sets out to solve an ancient mystery and find a Lost Maya city.
TV Show,Apollo: Back To The Moon,Others,October,2019,TV-PG,"Docuseries, Historical",360,,,,s63,Others,"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow","Follow the Apollo lunar landing program from the inside, as never shown before."
TV Show,Just Beyond,Others,October,2021,TV-PG,"Anthology, Comedy, Coming of Age",360,,,,s64,Others,"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad","Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series."
TV Show,Secrets Of The Zoo: Down Under,Others,October,2020,TV-14,"Animals & Nature, Docuseries, Family",720,,,,s65,Others,Naomi Watts,This series is a behind-the-scenes look at one of the world’s most famous zoos.
TV Show,Secrets of the Zoo: North Carolina,Others,October,2020,TV-14,Reality,360,,,,s66,Others,Others,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats."
TV Show,The Wizard of Paws,Others,October,2021,TV-PG,"Animals & Nature, Docuseries, Medical",360,,,,s67,Others,Others,Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance.
TV Show,Zombies: Addison's Moonstone Mystery,Others,October,2020,TV-G,"Animation, Coming of Age, Fantasy",360,,,,s68,Others,Others,Things are smooth sailing at Seabrook High until ...
Movie,Just Roll With It: You Decide Live!,Others,October,2019,G,Comedy,52,,,,s69,Others,"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-Symoné",The Bennett-Blatts set out to reverse an evil curse!
Movie,Mickey's Tale of Two Witches,Others,October,2021,TV-Y,"Animation, Family, Fantasy",47,,,,s70,Jeff Gordon,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings",Mickey tells a tale of two witches-in-training!
Movie,Muppets Haunted Mansion,Others,October,2021,TV-PG,"Comedy, Family, Musical",53,,,,s71,Kirk Thatcher,"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss",Gonzo is challenged to spend Halloween night in the scariest place on Earth – the Haunted Mansion.
Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,Others,October,2021,TV-PG,"Family, Variety",85,,,,s72,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",Celebrating 50 years of the Walt Disney World Resort.
Movie,Under Wraps,Others,October,2021,TV-G,"Action-Adventure, Comedy, Kids",92,,,,s73,Alex Zamm,"Malachi Barton, Christian J. Simon, Sophia Hammons, Melanie Brook, Brent Stait, Jordana Largy",Three friends revive a mummy in a neighbor's basement.
TV Show,Among the Stars,Others,October,2021,TV-PG,Docuseries,360,,,,s74,Others,Chris Cassidy,NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration.
Movie,Black Widow,United States,October,2021,PG-13,"Action-Adventure, Science Fiction, Spy/Espionage",135,,,,s75,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz, Ray Winstone",Natasha confronts her history as a spy and the broken relationships left in her wake.
TV Show,Drain the Oceans,"United Kingdom, Australia",October,2017,TV-PG,"Docuseries, Historical",1440,,,,s76,Others,Russell Boulter,Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.
TV Show,Drain The Oceans: The Mississippi River & Arctic War,Others,October,2021,TV-14,"Docuseries, Historical",360,,,,s77,Others,Kerry Shale,Drain the Oceans takes underwater archaeology into a whole new era.
Movie,Fauci,United States,October,2021,PG-13,"Biographical, Documentary",105,,,,s78,"John Hoffman, Janet Tobias","Dr. Anthony Fauci, Bono, George W. Bush, Peter Staley","""Fauci"" reveals the extraordinary life and career of Dr. Anthony Fauci."
TV Show,IMPACT with Gal Gadot,United States,October,2021,TV-14,Docuseries,360,,,,s79,Others,Gal Gadot,National Geographic Presents IMPACT with Gal Gadot honors impactful women.
TV Show,The Ghost and Molly McGee,United States,October,2021,TV-Y7,"Animation, Buddy, Coming of Age",360,,,,s80,Others,"Ashly Burch, Dana Snyder",A grumpy ghost and cheerful tween are eternally bound.
Movie,Alvin and the Chipmunks,United States,October,2007,PG,"Animation, Comedy, Family",91,,,,s81,Tim Hill,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler","Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down."
Movie,Alvin and the Chipmunks: The Road Chip,United States,October,2015,PG,"Comedy, Family, Music",92,,,,s82,Walt Becker,"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba","Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure."
Movie,LEGO Star Wars Terrifying Tales,Others,October,2021,TV-Y7-FV,"Action-Adventure, Animation, Science Fiction",47,,,,s83,Ken Cunningham,"Jake Green, Raphael Alejandro, Dana Snyder, Tony Hale, Christian Slater, Trevor Devall",Poe and BB-8 are told terrifying tales as they search for help in Darth Vader’s creepy old castle.
Movie,Maleficent,"United States, United Kingdom",October,2014,PG,"Action-Adventure, Family, Fantasy",99,,,,s84,Robert Stromberg,"Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple","Driven by revenge, Maleficent places a curse upon the king’s newborn infant, Aurora."
Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,Others,October,2017,TV-G,"Animation, Family, Parody",22,,,,s85,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor",Mickey tells a scary story on Halloween.
TV Show,Disney Vampirina,"Ireland, United States",September,2017,TV-Y7,"Animation, Fantasy, Kids",1080,,,,s86,Others,"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield",Vampirina is the new girl in town!
TV Show,Disney's Magic Bake-Off,United States,September,2021,TV-G,"Family, Game Show / Competition",360,,,,s87,Others,"Issac Ryan Brown, Dara Reneé, Graciela Gomez",Kid bakers compete to be named Disney Baking Champion.
TV Show,Great Barrier Reef,Others,September,2020,TV-PG,"Animals & Nature, Docuseries",360,,,,s88,Others,Don Halbert,Explore the complex Great Barrier Reef along with the wildlife that inhabit it.
TV Show,Ready for Preschool,Others,September,2019,TV-Y,"Kids, Music",720,,,,s89,Others,Others,The love of learning begins with Disney Junior!
TV Show,Rolie Polie Olie,"Canada, United States, France",September,1998,TV-Y,"Animation, Science Fiction",1800,,,,s90,Others,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson",Rolie Polie Olie’s life and adventures center on his Robo-family.
TV Show,Star Wars Galaxy of Sounds,Others,September,2021,TV-PG,"Animation, Anthology, Science Fiction",360,,,,s91,Others,Others,"""Star Wars Galaxy of Sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away."
TV Show,The Hatcher Family Dairy,Others,September,2021,TV-14,"Animals & Nature, Docuseries, Reality",360,,,,s92,Others,Others,"The Hatcher Family enjoys a nonstop circus of animals, farming and family."
TV Show,The Simpsons,United States,September,1989,TV-PG,"Animation, Comedy",11520,,,,s93,Others,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden","The world’s favorite nuclear family, in the award-winning, history-making series."
Movie,A Spark Story,Others,September,2021,TV-PG,Documentary,88,,,,s94,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.
Movie,Spooky Buddies,"United States, Canada",September,2011,G,"Comedy, Fantasy, Kids",93,,,,s95,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.
Movie,The Fault in Our Stars,United States,September,2014,PG-13,"Coming of Age, Drama, Romance",127,,,,s96,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",Hazel and Gus share a love that sweeps them on an unforgettable journey.
TV Show,Dog: Impossible,United States,September,2019,TV-PG,"Animals & Nature, Docuseries, Family",720,,,,s97,Others,Matt Beisner,Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.
TV Show,Spidey And His Amazing Friends,United States,September,2021,TV-Y,"Action-Adventure, Animation, Kids",360,,,,s98,Others,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",Spidey teams up with pals to become The Spidey Team!
TV Show,Star Wars: Visions,Others,September,2021,TV-PG,"Action-Adventure, Animation, Anime",360,,,,s99,Others,Others,An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.
Movie,Confessions of a Shopaholic,United States,September,2009,PG,"Comedy, Romance, Romantic Comedy",106,,,,s100,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",Becky writes a personal finance column en route to a high-fashion mag job.
Movie,Descendants: Royal Wedding,Others,September,2021,TV-G,"Animation, Fantasy, Musical",22,,,,s101,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",Mal and Ben’s wedding is finally here!
Movie,Disney's Broadway Hits at London's Royal Albert Hall,Others,September,2016,TV-G,"Concert Film, Music",116,,,,s102,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",Experience the magic of Disney on Broadway in an unforgettable night of music.
Movie,Flooded Tombs of the Nile,Others,September,2021,TV-PG,Documentary,44,,,,s103,Katie Bauer Murdock,Devin E. Haqq,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.
Movie,Jade Eyed Leopard,Others,September,2020,TV-PG,"Animals & Nature, Documentary",44,,,,s104,Others,Jeremy Irons,"Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life."
Movie,Nona,Others,September,2021,G,"Animation, Comedy, Family",9,,,,s105,Louis Gonzales,Others,A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.
Movie,Smoky Mountain Park Rangers,Others,September,2021,TV-PG,"Animals & Nature, Documentary",42,,,,s106,Others,Peter Jessop,Park Rangers protect the wildlife in Great Smoky Mountain National Park.
TV Show,Life Below Zero,United States,September,2012,TV-14,"Action-Adventure, Animals & Nature, Docuseries",5760,,,,s107,Others,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich","Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze."
TV Show,Miraculous: Tales Of Ladybug & Cat Noir,"France, South Korea, Japan, United States",September,2015,TV-Y7,"Action-Adventure, Animation, Fantasy",360,,,,s108,Others,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen",Superheroes Ladybug and Cat Noir protect the city.
TV Show,Unknown Waters with Jeremy Wade,Others,September,2021,TV-14,"Animals & Nature, Docuseries",360,,,,s109,Others,Jeremy Wade,"Angler and adventurer, Jeremy Wade, explores the greatest river system in the world."
Movie,Far Away From Raven’s Home,Others,September,2021,TV-G,Comedy,11,,,,s110,Others,"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",Our gang is off for an exotic vacation of a lifetime!
Movie,Pirates of the Caribbean: On Stranger Tides,"United States, United Kingdom",September,2011,PG-13,"Action-Adventure, Fantasy",140,,,,s111,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin",A woman from his past uses Jack to help find the fabled Fountain of Youth.
Movie,Twenty Something,United States,September,2021,PG,"Animation, Family",11,,,,s112,Aphton Corbin,"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou","Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat."
TV Show,"Doogie Kamealoha, M.D.",United States,September,2021,TV-PG,"Comedy, Coming of Age, Family",360,,,,s113,Others,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",A 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.
TV Show,"Mira, Royal Detective",United States,September,2020,TV-Y,"Animation, Fantasy, Kids",720,,,,s114,Others,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",Mira is the new royal detective in the land of Jalpur!
